Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Bijan Robinson,RB,ATL,,0,0,0,0,0,280.9,1299.1,11.2,,73.6,57.7,449.5,2.2,284.1
Ja'Marr Chase,WR,CIN,,0,0,0,0,0,4.5,21.5,0.1,,155.7,110.1,1446.6,11.2,269.7
Saquon Barkley,RB,PHI,,0,0,0,0,0,305,1494.7,11.1,,56.4,42.3,336.4,1.8,281.7
Jahmyr Gibbs,RB,DET,,0,0,0,0,0,223,1115.4,10.8,,75.8,55.4,491.3,2.8,270
Josh Allen,QB,BUF,,334.9,518.1,3870.1,27.4,11.9,105.7,539.7,10.8,,0,0,0,0,426.1
Christian McCaffrey,RB,SF,,0,0,0,0,0,240.6,1105.2,8,,80.5,64.4,537,3.1,263
Justin Jefferson,WR,MIN,,0,0,0,0,0,1.5,8.5,0.1,,160.1,106.2,1365.7,9.7,249.3
Lamar Jackson,QB,BAL,,300.4,451.6,3612.4,29.7,9.8,134.7,823.7,4.2,,0,0,0,0,420.5
Ashton Jeanty,RB,LV,,0,0,0,0,0,273.5,1228.4,8.2,,74.1,58.4,441.5,2,257.4
Brock Bowers,TE,LV,,0,0,0,0,0,3,9,0,,138.2,102,1071.6,5.2,190.3
Derrick Henry,RB,BAL,,0,0,0,0,0,291.4,1395.1,13.7,,22.9,17.9,151.2,0.9,251.2
CeeDee Lamb,WR,DAL,,0,0,0,0,0,9.5,57.8,0.3,,152.1,104.7,1297.7,7.7,235.9
De'Von Achane,RB,MIA,,0,0,0,0,0,201.3,928.6,8.2,,80.9,67.3,511.8,3.5,247.9
Trey McBride,TE,ARZ,,0,0,0,0,0,0,0,0,,134.7,101.5,987.5,5.2,180.7
Jonathan Taylor,RB,IND,,0,0,0,0,0,309.4,1400.2,10.6,,37.8,27,209.2,0.9,243.4
Puka Nacua,WR,LAR,,0,0,0,0,0,11.9,67.2,0.7,,146.1,99.6,1313,6.5,231
Malik Nabers,WR,NYG,,0,0,0,0,0,3.5,20.7,0.1,,156.5,99.1,1308.3,7.8,229.9
Jayden Daniels,QB,WAS,,336.8,503.2,3747.8,25.3,11.2,134.2,741.1,6.3,,0,0,0,0,402.4
Bucky Irving,RB,TB,,0,0,0,0,0,244.4,1149.6,7.9,,59.8,48.7,378.5,2.4,239
Josh Jacobs,RB,GB,,0,0,0,0,0,273.8,1167.2,10.8,,47.8,37.9,294.8,1.3,237.8
George Kittle,TE,SF,,0,0,0,0,0,0.5,2.5,0,,96.7,75.5,941.1,6.7,172.3
Kyren Williams,RB,LAR,,0,0,0,0,0,274.7,1195.5,11.2,,40.8,31.9,212.3,1.7,234.1
Joe Burrow,QB,CIN,,400.5,586.3,4411.5,33.8,12.5,47,177,2,,0,0,0,0,396.5
Chase Brown,RB,CIN,,0,0,0,0,0,241.3,1016,7.4,,73.9,59.8,412.6,2.4,231.6
Nico Collins,WR,HOU,,0,0,0,0,0,1,4.1,0.1,,135.7,93,1271.9,7.6,220.3
Jalen Hurts,QB,PHI,,294,446.4,3424.4,20.6,10.7,145.5,635.8,12.9,,0,0,0,0,390.9
Brian Thomas Jr.,WR,JAX,,0,0,0,0,0,4.6,26,0.1,,144.1,92.2,1257.7,7,217.1
Amon-Ra St. Brown,WR,DET,,0,0,0,0,0,4.9,28.4,0,,134.5,103.5,1145,7.7,215.3
